keys,en,es,zh,it,pl,pt,es_SV,fr,nb,ru
someone important,someone important,alguien importante,某个重要的人,una persona importante,ktoś ważny,alguém importante,alguien importante,une personne importante,noen viktig,кто-то важный
my greatest desire,my greatest desire,mi mayor anhelo,我最大的欲望,il mio più grande desiderio,moje największe pragnienie,meu maior desejo,lo que más anhelo,mon plus grand souhait,mitt største ønske,мое величайшее желание
what i always wanted to do,what i always wanted to do,lo que siempre quise hacer,我一直想做的事情,quello che ho sempre voluto fare,coś co zawsze chciał{em/am/om/xm} zrobić,o que eu sempre quis fazer,lo que siempre he querido hacer,ce que j'ai toujours rêvé de faire,noe jeg alltid ønsket å gjøre,что мне всегда хотелось сделать
(something else...),(something else...),(otra cosa...),（别的什么…）,(altro...),(coś innego...),(outra coisa...),(algo más...),(autre chose...),(noe annet...),(что-то еще…)
unlock the door.,unlock the door.,abrir la puerta.,解锁大门,apri la porta.,odblokuj drzwi.,destrancar a porta.,abrir la puerta.,déverrouiller la porte.,lås opp døren,открыть дверь.
open the door to the meowseum.,open the door to the meowseum.,abrir la puerta del miauseo.,打开喵物馆的门,apri la porta del miaoseo.,otwórz drzwi do miauzeum.,abrir a porta para o miauseu.,abre la puerta del miauseo.,ouvrir la porte du miaousée.,øpne døren til mjauseumet.,открыть дверь в мяузей.
return natalie's books to oliver.,return natalie's books to oliver.,devolver a oliver los libros de natalie.,把娜塔莉的书还给奥利弗,restituisci i libri di natalie a oliver.,zwróć książki natalie oliverowi.,devolver os livros da natalie pro oliver.,entregar los libros de natalie a oliver.,rendre les livres de natalie à oliver.,gi oliver tilbake natalies bøker.,вернуть оливеру книги натали.
"call the devil, maybe.","call the devil, maybe.","llamar al diablo, quizás.",给恶魔打电话，也许,"chiama il diavolo, forse.",może zadzwoń do diabła?,"ligar pro diabo, talvez.","llamar al diablo, tal vez.","appeler le diable, peut-être.","ring djevelen, kanskje.","позвонить дьяволу, возможно."
deliver oliver's chess letter to tori.,deliver oliver's chess letter to tori.,entregarle a tori la carta de ajedrez de oliver.,把奥利弗的棋局信件送给托丽,consegna la lettera di oliver a tori.,dostarcz list o szachach olivera do tori,entregar a carta de xadrez do oliver pra tori.,entrega la jugada de ajedrez de oliver a tori.,livrer la lettre d\'oliver à tori.,levere olivers sjakkbrev til tori,принести тори шахматное письмо оливера.
get some orange soda for oliver.,get some orange soda for oliver.,llevarle a oliver refresco de naranja.,给奥利弗找点橙子汽水,porta dell\'aranciata a oliver.,zdobądź trochę pomarańczowego napoju dla olivera,pegar um pouco de refri de laranja pro oliver.,consigue un poco de refresco de naranja para oliver.,amener du soda à l\'orange à oliver.,gi appelsinbrus til oliver,взять апельсиновой газировки для оливера.
tell oliver you couldn't find a cup for the orange soda.,tell oliver you couldn't find a cup for the orange soda.,decirle a oliver que no has encontrado un vaso para el refresco.,跟奥利弗说你找不到杯子,dì a oliver che non hai trovato un bicchiere per l\'aranciata.,powiedz oliverowi że nie mog{łeś/łaś/łoś/łxś} znaleźć kubka na pomarańczowy napój.,dizer ao oliver que você não achou um copo para o refrigerante.,dile a oliver que no pudiste encontrar un vaso para el refresco de naranja.,dire à oliver que vous n\'avez rien trouvé pour verser le soda à l\'orange.,fortell oliver at du kunne ikke finne en kopp til appelsinbrusen.,сказать оливеру что не получилось найти стакан для газировки.
find a screwdriver to open the vent cover.,find a screwdriver to open the vent cover.,encontrar un destornillador para abrir la rejilla de la ventilación.,找到一把螺丝刀打开通风口,trova un cacciavite per aprire il condotto.,"znajdź śrubokręt, aby zdjąć kratkę wentylacyjną.",achar uma chave de fenda para abrir a grade de ventilação.,encuentra un destornillador para abrir la rejilla del conducto de ventilación.,trouver un tournevis pour ouvrir la bouche d\'aération.,finn en skrutrekker for å åpne ventilasjonsdekselet.,найти отвертку чтобы открыть вентиляцию.
"help numa get flowers, poetry, and food for kyungsoon.","help numa get flowers, poetry, and food for kyungsoon.","ayudar a numa con las flores, el poema y la comida para kyungsoon.",帮助纽玛准备给京纯的花，诗歌与食物,"aiuta numa con i fiori, la poesia e il cibo per kyungsoon.","pomóż numie zdobyć kwiaty, wiersz i jedzenie dla kyungsoon.","ajudar a numa pegar as flores, a poesia, e a comida para a kyungsoon.","ayuda a numa a conseguir flores, poesía y comida para kyungsoon.","aider numa à rassembler des fleurs, un poème et de la nourriture pour kyungsoon.","hjelp numa med å få blomster, poesi og mat til kyungsoon.","помочь нуме собрать цветы, поэму, и еду для кингсун."
try to salvage the situation between numa and kyungsoon.,try to salvage the situation between numa and kyungsoon.,intentar arreglar la situación entre numa y kyungsoon.,尝试挽回纽玛和京纯的关系,prova a sistemare le cose tra numa e kyungsoon.,"spróbuj uratować sytuację między num, a kyungsoon.",tentar salvar a situação entre a numa e kyungsoon.,trata de salvar la situación entre numa y kyungsoon.,essayer de sauver la situation entre numa et kyungsoon.,prøv å redde situasjonen mellom numa og kyungsoon.,попытаться решить ситуацию между нумой и кингсун.
find two batteries for sean.,find two batteries for sean.,encontrar dos pilas para sean.,为肖恩找两个AA电池,trova due batterie per sean.,znajdź dwie baterie dla seana.,ache duas pilhas para o sean.,encuentra dos pilas para sean.,trouver deux piles pour sean.,finn to batterier for sean.,найти две батарейки для шона.
invite everyone to the everything slam.,invite everyone to the everything slam.,invitar a todo el mundo al multicertamen.,邀请所有人参加啥都友会,invita tutti all\'evento supremo.,"zaproś wszystkich na \""wszystko-slam\"".",convide todo mundo para o slam de tudo.,invita a todo el mundo al multicertamen.,inviter tout le monde au slam suprême.,inviter alle til alt-slammen.,пригласить всех на всеобщий слэм.
ring the bell to start the everything slam.,ring the bell to start the everything slam.,tocar la campana para que comience el multicertamen.,敲钟以开始啥都友会,suona la campana per dare il via all\'evento.,"zadzwoń dzwonem, aby rozpocząć \""wszystko-slam\""",toque o sino para começar o slam.,toca la campana para empezar el multicertamen.,sonner la cloche pour commencer le slam suprême.,ring klokken for å starte alt-slammen.,позвонить в колокол чтобы начать всеобщий слэм.
find elijah's poem!,find elijah's poem!,¡encontrar el poema de elijah!,找到伊莱贾的诗！,trova la poesia di elijah!,znajdź wiersz elijaha!,ache o poema do elijah!,¡encuentra el poema de elijah!,trouver le poème d\'elijah.,finn elijahs dikt,найти поэму элайджи!
find a source of light so you can work on the electrical box.,find a source of light so you can work on the electrical box.,encontrar una fuente de luz para ver el cuadro eléctrico.,找到一个光源以便在电箱工作,trova una fonte di luce per aggiustare il quadro elettrico.,"znajdź źródło światła, żeby móc pracować przy skrzynce rozdzielczej.",ache uma fonte de luz para que você possa arrumar a caixa elétrica.,encuentra una fuente de luz para poder trabajar en la caja eléctrica.,trouver une source de lumière pour pouvoir travailler sur le boîtier électrique.,finn en lyskilde slik at du kan jobbe med elektriskboksen.,найти источник света чтобы можно было работать с электрощитком.
find and return natalie's draw-a-paw.,find and return natalie's draw-a-paw.,encontrar el telesketch de natalie y devolvérselo.,寻找并归还娜塔莉的爪机绘画玩具,trova e resitituisci la lavagnetta di natalie.,znajdź i zwróć zni-[i]kot[/i]-pis natalie.,ache e devolva a lousinha mágica da natalie,encuentra y devuélvele su pizarra a natalie.,trouver l\'écran magique de natalie et aller lui rendre.,finn og gi tilbake natalies draw-a-paw.,найти и вернуть натали планшет для рисования.
next,next,siguiente,继续,prossimo,dalej,próximo,siguiente,suivant,neste,дальше
